"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 16:04:14 GMT 2024","Mon May 13 16:04:15 GMT 2024","601","testCases","testTitleVerification","TestGoogleSearchField","","","test_title_Page",""
"passed","Mon May 13 16:04:04 GMT 2024","Mon May 13 16:04:14 GMT 2024","10059","testCases","testGoogleSearch","TestGoogleSearchField","","","test_search_field_presence",""
