"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 18:06:21 GMT 2024","Mon May 13 18:06:22 GMT 2024","1532","testCases","testGoogleSearch","TestGoogleSearchField","","","test_search_field_presence",""
"passed","Mon May 13 18:06:23 GMT 2024","Mon May 13 18:06:23 GMT 2024","559","testCases","testTitleVerification","TestGoogleSearchField","","","test_title_Page",""
